시간,규모,진앙,위도,경도,위치
2016-09-1312:10:00AM,2,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1312:15:00AM,2,15,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1312:21:00AM,2.5,18,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-1312:32:00AM,2.1,16,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-1312:37:00AM,3.1,19,35.78,129.21,경북경주시남쪽6km지역
2016-09-1312:45:00AM,2.2,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-131:03:00AM,2,17,35.77,129.17,경북경주시남남서쪽9km지역
2016-09-131:23:00AM,2.2,17,35.75,129.19,경북경주시남남서쪽10km지역
2016-09-131:31:00AM,2,16,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-131:35:00AM,2.3,17,35.75,129.17,경북경주시남남서쪽11km지역
2016-09-131:37:00AM,2.2,17,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-131:58:00AM,2.5,17,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-132:03:00AM,2.1,17,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-132:03:00AM,2.2,14,35.78,129.19,경북경주시남남서쪽7km지역
2016-09-132:09:00AM,2,17,35.75,129.18,경북경주시남남서쪽10km지역
2016-09-133:11:00AM,2.1,17,35.75,129.17,경북경주시남남서쪽11km지역
2016-09-134:13:00AM,2.1,16,35.78,129.19,경북경주시남남서쪽7km지역
2016-09-134:41:00AM,2.1,17,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-134:56:00AM,2,15,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-135:15:00AM,2,16,35.77,129.18,경북경주시남남서쪽9km지역
2016-09-136:15:00AM,2.3,19,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-136:48:00AM,2,16,35.78,129.18,경북경주시남남서쪽7km지역
2016-09-137:03:00AM,2.1,18,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-137:47:00AM,2.4,17,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-138:24:00AM,3.2,14,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-138:47:00AM,2.3,17,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-139:23:00AM,2.3,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1310:01:00AM,2.3,18,35.78,129.19,경북경주시남남서쪽7km지역
2016-09-1310:05:00AM,2,18,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1310:44:00AM,2.2,18,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1310:58:00AM,2,18,35.76,129.18,경북경주시남남서쪽9km지역
